switch_type,switch_id,min_telemetry_push_time,experiment_time,TP,FP,FN,TN,throughput_nrmse,avg_delay
DINT,4,0.1,100.0,45,0,0,3,0.0047352735708475055,0.0002199555555555504
LINT,4,0.1,100.0,40,0,5,3,0.007699660790874676,0.0002197499999999939
static,4,0.1,100.0,43,0,2,3,0.019008160682138585,0.00021072093023255233
DINT,4,0.1,100.0,43,1,1,3,0.014828650121847677,0.00018958139534883025
LINT,4,0.1,100.0,38,1,4,5,0.008044599275565946,0.00020578947368420452
static,4,0.1,100.0,42,2,1,3,0.006895481452828532,0.00020749999999999507
DINT,4,0.1,100.0,41,4,0,3,0.006231252449042955,0.00028892682926828816
LINT,4,0.1,100.0,41,1,3,3,0.022610263173324156,0.0002314390243902391
static,4,0.1,100.0,45,0,0,3,0.010692961033042665,0.00027179999999999457
